,64,512,1024
0,0.1123046875,0.1123046875,0.1123046875
1,0.0869140625,0.0869140625,0.0869140625
2,0.103515625,0.103515625,0.103515625
3,0.1220703125,0.1220703125,0.1220703125
4,0.134765625,0.134765625,0.134765625
5,0.1484375,0.1484375,0.1484375
6,0.1376953125,0.1376953125,0.1376953125
7,0.17578125,0.17578125,0.17578125
8,0.16796875,0.16796875,0.16796875
9,0.1728515625,0.1728515625,0.1728515625
10,0.1455078125,0.1455078125,0.1455078125
11,0.109375,0.109375,0.109375
12,0.142578125,0.142578125,0.142578125
13,0.1943359375,0.1943359375,0.1943359375
14,0.14453125,0.14453125,0.14453125
15,0.1533203125,0.1533203125,0.1533203125
16,0.2109375,0.2109375,0.2109375
17,0.2451171875,0.2451171875,0.2451171875
18,0.23828125,0.23828125,0.23828125
19,0.2314453125,0.2314453125,0.2314453125
20,0.2138671875,0.2138671875,0.2138671875
21,0.263671875,0.263671875,0.263671875
22,0.2451171875,0.2451171875,0.2451171875
23,0.2470703125,0.2470703125,0.2470703125
24,0.2861328125,0.2861328125,0.2861328125
25,0.234375,0.234375,0.234375
26,0.2607421875,0.2607421875,0.2607421875
27,0.2373046875,0.2373046875,0.2373046875
28,0.234375,0.234375,0.234375
29,0.248046875,0.248046875,0.248046875
30,0.224609375,0.224609375,0.224609375
31,0.2646484375,0.2646484375,0.2646484375
32,0.2138671875,0.2138671875,0.2138671875
33,0.2939453125,0.2939453125,0.2939453125
34,0.2578125,0.2578125,0.2578125
35,0.2763671875,0.2763671875,0.2763671875
36,0.2626953125,0.2626953125,0.2626953125
37,0.2978515625,0.2978515625,0.2978515625
38,0.248046875,0.248046875,0.248046875
39,0.2861328125,0.2861328125,0.2861328125
40,0.3037109375,0.3037109375,0.3037109375
41,0.2919921875,0.2919921875,0.2919921875
42,0.3134765625,0.3134765625,0.3134765625
43,0.2587890625,0.2587890625,0.2587890625
44,0.2763671875,0.2763671875,0.2763671875
45,0.3125,0.3125,0.3125
46,0.3037109375,0.3037109375,0.3037109375
47,0.287109375,0.287109375,0.287109375
48,0.332547158003,0.332547158003,0.332547158003
49,0.3173828125,0.3173828125,0.3173828125
50,0.318359375,0.318359375,0.318359375
51,0.3193359375,0.3193359375,0.3193359375
52,0.3193359375,0.3193359375,0.3193359375
53,0.3251953125,0.3251953125,0.3251953125
54,0.3056640625,0.3056640625,0.3056640625
55,0.333984375,0.333984375,0.333984375
56,0.349609375,0.349609375,0.349609375
57,0.34765625,0.34765625,0.34765625
58,0.3388671875,0.3388671875,0.3388671875
59,0.3466796875,0.3466796875,0.3466796875
60,0.3525390625,0.3525390625,0.3525390625
61,0.3671875,0.3671875,0.3671875
62,0.3408203125,0.3408203125,0.3408203125
63,0.32421875,0.32421875,0.32421875
64,0.3525390625,0.3525390625,0.3525390625
65,0.2978515625,0.2978515625,0.2978515625
66,0.3310546875,0.3310546875,0.3310546875
67,0.3486328125,0.3486328125,0.3486328125
68,0.34765625,0.34765625,0.34765625
69,0.3330078125,0.3330078125,0.3330078125
70,0.34375,0.34375,0.34375
71,0.353515625,0.353515625,0.353515625
72,0.4072265625,0.4072265625,0.4072265625
73,0.376953125,0.376953125,0.376953125
74,0.35546875,0.35546875,0.35546875
75,0.388671875,0.388671875,0.388671875
76,0.388671875,0.388671875,0.388671875
77,0.361328125,0.361328125,0.361328125
78,0.396484375,0.396484375,0.396484375
79,0.3369140625,0.3369140625,0.3369140625
80,0.361328125,0.361328125,0.361328125
81,0.3955078125,0.3955078125,0.3955078125
82,0.37890625,0.37890625,0.37890625
83,0.359375,0.359375,0.359375
84,0.37109375,0.37109375,0.37109375
85,0.3408203125,0.3408203125,0.3408203125
86,0.3828125,0.3828125,0.3828125
87,0.38671875,0.38671875,0.38671875
88,0.3876953125,0.3876953125,0.3876953125
89,0.3759765625,0.3759765625,0.3759765625
90,0.4052734375,0.4052734375,0.4052734375
91,0.4111328125,0.4111328125,0.4111328125
92,0.3955078125,0.3955078125,0.3955078125
93,0.396484375,0.396484375,0.396484375
94,0.3779296875,0.3779296875,0.3779296875
95,0.3818359375,0.3818359375,0.3818359375
96,0.421875,0.421875,0.421875
97,0.377358496189,0.377358496189,0.377358496189
98,0.42578125,0.42578125,0.42578125
99,0.404296875,0.404296875,0.404296875
100,0.40625,0.40625,0.40625
101,0.3701171875,0.3701171875,0.3701171875
102,0.427734375,0.427734375,0.427734375
103,0.408203125,0.408203125,0.408203125
104,0.396484375,0.396484375,0.396484375
105,0.443359375,0.443359375,0.443359375
106,0.4169921875,0.4169921875,0.4169921875
107,0.43359375,0.43359375,0.43359375
108,0.4208984375,0.4208984375,0.4208984375
109,0.44140625,0.44140625,0.44140625
110,0.41015625,0.41015625,0.41015625
111,0.43359375,0.43359375,0.43359375
112,0.390625,0.390625,0.390625
113,0.404296875,0.404296875,0.404296875
114,0.4052734375,0.4052734375,0.4052734375
115,0.4189453125,0.4189453125,0.4189453125
116,0.419921875,0.419921875,0.419921875
117,0.4296875,0.4296875,0.4296875
118,0.4111328125,0.4111328125,0.4111328125
119,0.4228515625,0.4228515625,0.4228515625
120,0.4365234375,0.4365234375,0.4365234375
121,0.419921875,0.419921875,0.419921875
122,0.4287109375,0.4287109375,0.4287109375
123,0.435546875,0.435546875,0.435546875
124,0.4208984375,0.4208984375,0.4208984375
125,0.4765625,0.4765625,0.4765625
126,0.427734375,0.427734375,0.427734375
127,0.4560546875,0.4560546875,0.4560546875
128,0.4287109375,0.4287109375,0.4287109375
129,0.4501953125,0.4501953125,0.4501953125
130,0.435546875,0.435546875,0.435546875
131,0.4208984375,0.4208984375,0.4208984375
132,0.443359375,0.443359375,0.443359375
133,0.4384765625,0.4384765625,0.4384765625
134,0.4482421875,0.4482421875,0.4482421875
135,0.4677734375,0.4677734375,0.4677734375
136,0.447265625,0.447265625,0.447265625
137,0.4423828125,0.4423828125,0.4423828125
138,0.4580078125,0.4580078125,0.4580078125
139,0.474609375,0.474609375,0.474609375
140,0.451171875,0.451171875,0.451171875
141,0.4384765625,0.4384765625,0.4384765625
142,0.4521484375,0.4521484375,0.4521484375
143,0.4482421875,0.4482421875,0.4482421875
144,0.44921875,0.44921875,0.44921875
145,0.4462890625,0.4462890625,0.4462890625
146,0.470518887043,0.470518887043,0.470518887043
147,0.455078125,0.455078125,0.455078125
148,0.4716796875,0.4716796875,0.4716796875
149,0.451171875,0.451171875,0.451171875
150,0.466796875,0.466796875,0.466796875
151,0.4609375,0.4609375,0.4609375
152,0.4541015625,0.4541015625,0.4541015625
153,0.455078125,0.455078125,0.455078125
154,0.455078125,0.455078125,0.455078125
155,0.4658203125,0.4658203125,0.4658203125
156,0.451171875,0.451171875,0.451171875
157,0.43359375,0.43359375,0.43359375
158,0.46875,0.46875,0.46875
159,0.4677734375,0.4677734375,0.4677734375
160,0.4638671875,0.4638671875,0.4638671875
161,0.453125,0.453125,0.453125
162,0.4580078125,0.4580078125,0.4580078125
163,0.4443359375,0.4443359375,0.4443359375
164,0.4423828125,0.4423828125,0.4423828125
165,0.4248046875,0.4248046875,0.4248046875
166,0.44921875,0.44921875,0.44921875
167,0.404296875,0.404296875,0.404296875
168,0.416015625,0.416015625,0.416015625
169,0.455078125,0.455078125,0.455078125
170,0.4443359375,0.4443359375,0.4443359375
171,0.4375,0.4375,0.4375
172,0.4296875,0.4296875,0.4296875
173,0.451171875,0.451171875,0.451171875
174,0.4619140625,0.4619140625,0.4619140625
175,0.423828125,0.423828125,0.423828125
176,0.470703125,0.470703125,0.470703125
177,0.4404296875,0.4404296875,0.4404296875
178,0.4501953125,0.4501953125,0.4501953125
179,0.4619140625,0.4619140625,0.4619140625
180,0.4599609375,0.4599609375,0.4599609375
181,0.443359375,0.443359375,0.443359375
182,0.4482421875,0.4482421875,0.4482421875
183,0.44140625,0.44140625,0.44140625
184,0.48046875,0.48046875,0.48046875
185,0.4189453125,0.4189453125,0.4189453125
186,0.4609375,0.4609375,0.4609375
187,0.4306640625,0.4306640625,0.4306640625
188,0.4619140625,0.4619140625,0.4619140625
189,0.4755859375,0.4755859375,0.4755859375
190,0.4853515625,0.4853515625,0.4853515625
191,0.4921875,0.4921875,0.4921875
192,0.4541015625,0.4541015625,0.4541015625
193,0.4697265625,0.4697265625,0.4697265625
194,0.453125,0.453125,0.453125
195,0.468160390854,0.468160390854,0.468160390854
196,0.447265625,0.447265625,0.447265625
197,0.4951171875,0.4951171875,0.4951171875
198,0.4609375,0.4609375,0.4609375
199,0.470703125,0.470703125,0.470703125
200,0.44921875,0.44921875,0.44921875
201,0.4794921875,0.4794921875,0.4794921875
202,0.4755859375,0.4755859375,0.4755859375
203,0.529296875,0.529296875,0.529296875
204,0.4541015625,0.4541015625,0.4541015625
205,0.4873046875,0.4873046875,0.4873046875
206,0.484375,0.484375,0.484375
207,0.4736328125,0.4736328125,0.4736328125
208,0.478515625,0.478515625,0.478515625
209,0.4873046875,0.4873046875,0.4873046875
210,0.46875,0.46875,0.46875
211,0.470703125,0.470703125,0.470703125
212,0.478515625,0.478515625,0.478515625
213,0.49609375,0.49609375,0.49609375
214,0.486328125,0.486328125,0.486328125
215,0.5078125,0.5078125,0.5078125
216,0.5166015625,0.5166015625,0.5166015625
217,0.4736328125,0.4736328125,0.4736328125
218,0.4765625,0.4765625,0.4765625
219,0.4794921875,0.4794921875,0.4794921875
220,0.494140625,0.494140625,0.494140625
221,0.5029296875,0.5029296875,0.5029296875
222,0.509765625,0.509765625,0.509765625
223,0.501953125,0.501953125,0.501953125
224,0.515625,0.515625,0.515625
225,0.4697265625,0.4697265625,0.4697265625
226,0.4912109375,0.4912109375,0.4912109375
227,0.48828125,0.48828125,0.48828125
228,0.4716796875,0.4716796875,0.4716796875
229,0.51953125,0.51953125,0.51953125
230,0.515625,0.515625,0.515625
231,0.5361328125,0.5361328125,0.5361328125
232,0.5,0.5,0.5
233,0.494140625,0.494140625,0.494140625
234,0.482421875,0.482421875,0.482421875
235,0.5166015625,0.5166015625,0.5166015625
236,0.5126953125,0.5126953125,0.5126953125
237,0.486328125,0.486328125,0.486328125
238,0.4794921875,0.4794921875,0.4794921875
239,0.513671875,0.513671875,0.513671875
240,0.4794921875,0.4794921875,0.4794921875
241,0.5322265625,0.5322265625,0.5322265625
242,0.46875,0.46875,0.46875
243,0.4970703125,0.4970703125,0.4970703125
244,0.518867909908,0.518867909908,0.518867909908
245,0.486328125,0.486328125,0.486328125
246,0.5185546875,0.5185546875,0.5185546875
247,0.4951171875,0.4951171875,0.4951171875
248,0.478515625,0.478515625,0.478515625
249,0.5166015625,0.5166015625,0.5166015625
250,0.505859375,0.505859375,0.505859375
251,0.5166015625,0.5166015625,0.5166015625
252,0.5,0.5,0.5
253,0.49609375,0.49609375,0.49609375
254,0.4970703125,0.4970703125,0.4970703125
255,0.5068359375,0.5068359375,0.5068359375
256,0.5078125,0.5078125,0.5078125
257,0.4912109375,0.4912109375,0.4912109375
258,0.4912109375,0.4912109375,0.4912109375
259,0.509765625,0.509765625,0.509765625
260,0.4775390625,0.4775390625,0.4775390625
261,0.505859375,0.505859375,0.505859375
262,0.5380859375,0.5380859375,0.5380859375
263,0.5009765625,0.5009765625,0.5009765625
264,0.5048828125,0.5048828125,0.5048828125
265,0.537109375,0.537109375,0.537109375
266,0.49609375,0.49609375,0.49609375
267,0.53515625,0.53515625,0.53515625
268,0.521484375,0.521484375,0.521484375
269,0.509765625,0.509765625,0.509765625
270,0.517578125,0.517578125,0.517578125
271,0.49609375,0.49609375,0.49609375
272,0.5068359375,0.5068359375,0.5068359375
273,0.53125,0.53125,0.53125
274,0.5380859375,0.5380859375,0.5380859375
275,0.521484375,0.521484375,0.521484375
276,0.5146484375,0.5146484375,0.5146484375
277,0.53515625,0.53515625,0.53515625
278,0.5244140625,0.5244140625,0.5244140625
279,0.5283203125,0.5283203125,0.5283203125
280,0.544921875,0.544921875,0.544921875
281,0.5302734375,0.5302734375,0.5302734375
282,0.5390625,0.5390625,0.5390625
283,0.5234375,0.5234375,0.5234375
284,0.5087890625,0.5087890625,0.5087890625
285,0.5556640625,0.5556640625,0.5556640625
286,0.505859375,0.505859375,0.505859375
287,0.53125,0.53125,0.53125
288,0.5107421875,0.5107421875,0.5107421875
289,0.505859375,0.505859375,0.505859375
290,0.5400390625,0.5400390625,0.5400390625
291,0.5810546875,0.5810546875,0.5810546875
292,0.5322265625,0.5322265625,0.5322265625
