,64,512,1024
0,0.0830078125,0.0830078125,0.0830078125
1,0.1474609375,0.1474609375,0.1474609375
2,0.1083984375,0.1083984375,0.1083984375
3,0.3544921875,0.3544921875,0.3544921875
4,0.302734375,0.302734375,0.302734375
5,0.46484375,0.46484375,0.46484375
6,0.4609375,0.4609375,0.4609375
7,0.470703125,0.470703125,0.470703125
8,0.47265625,0.47265625,0.47265625
9,0.630859375,0.630859375,0.630859375
10,0.623046875,0.623046875,0.623046875
11,0.6611328125,0.6611328125,0.6611328125
12,0.7470703125,0.7470703125,0.7470703125
13,0.7353515625,0.7353515625,0.7353515625
14,0.7412109375,0.7412109375,0.7412109375
15,0.79296875,0.79296875,0.79296875
16,0.806640625,0.806640625,0.806640625
17,0.8408203125,0.8408203125,0.8408203125
18,0.8642578125,0.8642578125,0.8642578125
19,0.8681640625,0.8681640625,0.8681640625
20,0.892578125,0.892578125,0.892578125
21,0.892578125,0.892578125,0.892578125
22,0.8740234375,0.8740234375,0.8740234375
23,0.8955078125,0.8955078125,0.8955078125
24,0.9052734375,0.9052734375,0.9052734375
25,0.9052734375,0.9052734375,0.9052734375
26,0.91015625,0.91015625,0.91015625
27,0.9033203125,0.9033203125,0.9033203125
28,0.91796875,0.91796875,0.91796875
29,0.9150390625,0.9150390625,0.9150390625
30,0.9326171875,0.9326171875,0.9326171875
31,0.9189453125,0.9189453125,0.9189453125
32,0.927734375,0.927734375,0.927734375
33,0.9443359375,0.9443359375,0.9443359375
34,0.9267578125,0.9267578125,0.9267578125
35,0.9384765625,0.9384765625,0.9384765625
36,0.9423828125,0.9423828125,0.9423828125
37,0.9423828125,0.9423828125,0.9423828125
38,0.9375,0.9375,0.9375
39,0.9423828125,0.9423828125,0.9423828125
40,0.9228515625,0.9228515625,0.9228515625
41,0.9580078125,0.9580078125,0.9580078125
42,0.9443359375,0.9443359375,0.9443359375
43,0.94921875,0.94921875,0.94921875
44,0.9443359375,0.9443359375,0.9443359375
45,0.9404296875,0.9404296875,0.9404296875
46,0.9453125,0.9453125,0.9453125
47,0.94921875,0.94921875,0.94921875
48,0.958984375,0.958984375,0.958984375
49,0.9423828125,0.9423828125,0.9423828125
50,0.9462890625,0.9462890625,0.9462890625
51,0.9638671875,0.9638671875,0.9638671875
52,0.955078125,0.955078125,0.955078125
53,0.962890625,0.962890625,0.962890625
54,0.962890625,0.962890625,0.962890625
55,0.970703125,0.970703125,0.970703125
56,0.978515625,0.978515625,0.978515625
57,0.9833984375,0.9833984375,0.9833984375
58,0.971428573132,0.971428573132,0.971428573132
59,0.9599609375,0.9599609375,0.9599609375
60,0.974609375,0.974609375,0.974609375
61,0.9716796875,0.9716796875,0.9716796875
62,0.9638671875,0.9638671875,0.9638671875
63,0.9658203125,0.9658203125,0.9658203125
64,0.962890625,0.962890625,0.962890625
65,0.958984375,0.958984375,0.958984375
66,0.95703125,0.95703125,0.95703125
67,0.9462890625,0.9462890625,0.9462890625
68,0.9638671875,0.9638671875,0.9638671875
69,0.9736328125,0.9736328125,0.9736328125
70,0.9638671875,0.9638671875,0.9638671875
71,0.970703125,0.970703125,0.970703125
72,0.9599609375,0.9599609375,0.9599609375
73,0.9560546875,0.9560546875,0.9560546875
74,0.96875,0.96875,0.96875
75,0.9658203125,0.9658203125,0.9658203125
76,0.9609375,0.9609375,0.9609375
77,0.9716796875,0.9716796875,0.9716796875
78,0.966796875,0.966796875,0.966796875
79,0.9677734375,0.9677734375,0.9677734375
80,0.9638671875,0.9638671875,0.9638671875
81,0.9736328125,0.9736328125,0.9736328125
82,0.974609375,0.974609375,0.974609375
83,0.96875,0.96875,0.96875
84,0.984375,0.984375,0.984375
85,0.96875,0.96875,0.96875
86,0.9609375,0.9609375,0.9609375
87,0.9794921875,0.9794921875,0.9794921875
88,0.9775390625,0.9775390625,0.9775390625
89,0.97265625,0.97265625,0.97265625
90,0.96875,0.96875,0.96875
91,0.9775390625,0.9775390625,0.9775390625
92,0.974609375,0.974609375,0.974609375
93,0.9638671875,0.9638671875,0.9638671875
94,0.96875,0.96875,0.96875
95,0.978515625,0.978515625,0.978515625
96,0.9765625,0.9765625,0.9765625
97,0.9736328125,0.9736328125,0.9736328125
98,0.97265625,0.97265625,0.97265625
99,0.96484375,0.96484375,0.96484375
100,0.97265625,0.97265625,0.97265625
101,0.9736328125,0.9736328125,0.9736328125
102,0.9765625,0.9765625,0.9765625
103,0.9638671875,0.9638671875,0.9638671875
104,0.966796875,0.966796875,0.966796875
105,0.97265625,0.97265625,0.97265625
106,0.9638671875,0.9638671875,0.9638671875
107,0.97265625,0.97265625,0.97265625
108,0.970703125,0.970703125,0.970703125
109,0.96875,0.96875,0.96875
110,0.9814453125,0.9814453125,0.9814453125
111,0.9755859375,0.9755859375,0.9755859375
112,0.9833984375,0.9833984375,0.9833984375
113,0.97265625,0.97265625,0.97265625
114,0.9794921875,0.9794921875,0.9794921875
115,0.9892578125,0.9892578125,0.9892578125
116,0.9892578125,0.9892578125,0.9892578125
117,0.974285721779,0.974285721779,0.974285721779
118,0.97265625,0.97265625,0.97265625
119,0.9755859375,0.9755859375,0.9755859375
