,64,512,1024
0,0.0869140625,0.0869140625,0.0869140625
1,0.0986328125,0.0986328125,0.0986328125
2,0.0576171875,0.0576171875,0.0576171875
3,0.076171875,0.076171875,0.076171875
4,0.0947265625,0.0947265625,0.0947265625
5,0.0595703125,0.0595703125,0.0595703125
6,0.12109375,0.12109375,0.12109375
7,0.1201171875,0.1201171875,0.1201171875
8,0.060546875,0.060546875,0.060546875
9,0.1259765625,0.1259765625,0.1259765625
10,0.06640625,0.06640625,0.06640625
11,0.1240234375,0.1240234375,0.1240234375
12,0.119140625,0.119140625,0.119140625
13,0.0703125,0.0703125,0.0703125
14,0.1162109375,0.1162109375,0.1162109375
15,0.0546875,0.0546875,0.0546875
16,0.119140625,0.119140625,0.119140625
17,0.1259765625,0.1259765625,0.1259765625
18,0.080078125,0.080078125,0.080078125
19,0.134765625,0.134765625,0.134765625
20,0.0615234375,0.0615234375,0.0615234375
21,0.1259765625,0.1259765625,0.1259765625
22,0.123046875,0.123046875,0.123046875
23,0.078125,0.078125,0.078125
24,0.1259765625,0.1259765625,0.1259765625
25,0.0703125,0.0703125,0.0703125
26,0.1220703125,0.1220703125,0.1220703125
27,0.1162109375,0.1162109375,0.1162109375
28,0.0703125,0.0703125,0.0703125
29,0.1142578125,0.1142578125,0.1142578125
30,0.0634765625,0.0634765625,0.0634765625
31,0.1328125,0.1328125,0.1328125
32,0.123046875,0.123046875,0.123046875
33,0.0693359375,0.0693359375,0.0693359375
34,0.1279296875,0.1279296875,0.1279296875
35,0.0595703125,0.0595703125,0.0595703125
36,0.1220703125,0.1220703125,0.1220703125
37,0.119140625,0.119140625,0.119140625
38,0.0751953125,0.0751953125,0.0751953125
39,0.1171875,0.1171875,0.1171875
40,0.0712890625,0.0712890625,0.0712890625
41,0.126953125,0.126953125,0.126953125
42,0.111328125,0.111328125,0.111328125
43,0.056640625,0.056640625,0.056640625
44,0.1259765625,0.1259765625,0.1259765625
45,0.072265625,0.072265625,0.072265625
46,0.1328125,0.1328125,0.1328125
47,0.099609375,0.099609375,0.099609375
