,1
0,0.942066666667
1,0.956433333333
2,0.956233333333
3,0.95345
4,0.95045
5,0.94975
6,0.948
7,0.943883333333
8,0.941833333333
9,0.940516666667
10,0.939216666667
11,0.933366666667
12,0.93245
13,0.928516666667
14,0.926483333333
15,0.9295
16,0.927483333333
17,0.923533333333
18,0.911716666667
19,0.9223
